timestamp	variant	stem	operating_point	conf	gate	duty_fps	k	n	rip_videos	rip_alarmed_frac	latency_median_s	latency_p90_s	norip_videos	norip_alarmed_frac	norip_hours	false_alarms_per_hour	video_F2	frames_kept_frac	detector_runs_frac
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	0.5	2	3	31	0.677	0.0	12.0	40	0.150	0.28	21.11	0.695	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	0.2	1	1	31	0.710	0.0	5.0	40	0.175	0.28	24.63	0.719	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s2_best_e8	event-F2	0.01	0.50	0.2	2	3	31	0.613	0.0	8.6	40	0.100	0.28	14.07	0.646	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	5.0	1	1	31	0.774	0.0	1.8	40	0.525	0.28	87.96	0.710	0.972	0.972
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	5.0	2	3	31	0.742	0.0	1.4	40	0.200	0.28	38.70	0.742	0.972	0.972
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	1.0	1	1	31	0.774	0.0	2.7	40	0.325	0.28	52.78	0.745	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	1.0	2	3	31	0.645	0.0	4.1	40	0.200	0.28	31.67	0.658	0.206	0.206
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	0.5	1	1	31	0.742	0.0	4.6	40	0.275	0.28	45.74	0.728	0.105	0.105
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	0.5	2	3	31	0.645	0.0	6.0	40	0.150	0.28	21.11	0.667	0.105	0.105
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	0.2	1	1	31	0.677	0.0	5.0	40	0.200	0.28	28.15	0.686	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	off	0.2	2	3	31	0.613	0.0	1.6	40	0.100	0.28	14.07	0.646	0.044	0.044
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	5.0	1	1	31	0.774	0.0	3.5	40	0.175	0.28	31.67	0.774	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	5.0	2	3	31	0.742	0.0	3.8	40	0.075	0.28	17.59	0.767	0.972	0.457
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	1.0	1	1	31	0.774	0.0	4.4	40	0.150	0.28	24.63	0.779	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	1.0	2	3	31	0.613	0.0	4.2	40	0.075	0.28	14.07	0.651	0.206	0.095
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	0.5	1	1	31	0.710	0.0	4.7	40	0.125	0.28	21.11	0.728	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	0.5	2	3	31	0.613	0.0	6.1	40	0.075	0.28	10.56	0.651	0.105	0.048
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	0.2	1	1	31	0.677	0.0	5.0	40	0.100	0.28	14.07	0.705	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	frame-F2	0.04	0.50	0.2	2	3	31	0.581	0.0	2.4	40	0.050	0.28	7.04	0.625	0.044	0.020
2026-08-27 10:24	yolo26n canonical	canon_bfi_n_s3_best_e22	event-F2	0.02	off	5.0	1	1	31	0.774	0.0	1.6	40	0.600	0.28	102.03	0.698	0.972	0.972
